sf_field	db_column
Id	sfid
CostCenterLevel2__c	cc_cd2
OrgCodeLevel2__c	org_cd2
OrgNameLevel2__c	org_nm2
CostCenterLevel3__c	cc_cd3
OrgCodeLevel3__c	org_cd3
OrgNameLevel3__c	org_nm3
CostCenterLevel4__c	cc_cd4
OrgCodeLevel4__c	org_cd4
OrgNameLevel4__c	org_nm4
CostCenterLevel5__c	cc_cd5
OrgCodeLevel5__c	org_cd5
OrgNameLevel5__c	org_nm5
ExternalKey__c	external_key
OwnerId	owner_sfid
CreatedById	created_by_sfid
LastModifiedById	last_modified_by_sfid
CreatedDate	created_at
LastModifiedDate	updated_at
